App Name,Program Naam,
Calendar,kalender,
Camera,Kamera,
Custom CSS,Aangepaste CSS,
Description,beskrywing,
Download,Aflaai,
File,lêer,
Filter,filter,
Folder,gids,
Home,huis,
Icon,ikoon,
Image,Image,
Inbox,posbus,
Is Active,Is aktief,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Label,Etiket,
Phone,Foon,
Primary Color,Primêre kleur,
Reload,Reload,
Search,Soek,
Session Defaults,Sessie verstek,
Settings,instellings,
System Manager,Stelselbestuurder,
Title,Titel,
Upload,oplaai,
User,gebruiker,
Users,gebruikers,
View Website,Besigtig webwerf,
