App Name,অ্যাপ নাম,
Calendar,ক্যালেন্ডার,
Camera,ক্যামেরা,
Custom CSS,কাস্টম CSS,
Description,বিবরণ,
Download,ডাউনলোড,
File,ফাইল,
Filter,ছাঁকনি,
Folder,ফোল্ডার,
Home,বাড়ি,
Icon,আইকন,
Image,ভাবমূর্তি,
Inbox,ইনবক্স,
Is Active,সক্রিয়,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Label,লেবেল,
Phone,ফোন,
Primary Color,মৌলিক রঙ,
Reload,পুনরায় লোড করুন,
Search,অনুসন্ধান,
Session Defaults,সেশন ডিফল্ট,
Settings,সেটিংস,
System Manager,সিস্টেম ম্যানেজার,
Title,খেতাব,
Upload,আপলোড,
User,ব্যবহারকারী,
Users,ব্যবহারকারী,
View Website,ওয়েবসাইট দেখুন,
