App Name,Nom App,
Calendar,Calendari,
Camera,Càmera,
Custom CSS,CSS personalitzat,
Description,Descripció,
Download,descarregar,
File,Dossier,
Filter,Filtre,
Folder,Carpeta,
Home,casa,
Icon,Icona,
Image,Imatge,
Inbox,Safata d&#39;entrada,
Is Active,Està actiu,
Keyboard Shortcuts,Dreceres de teclat,
Label,Etiqueta,
Phone,Telèfon,
Primary Color,Color primari,
Reload,Recarregar,
Search,Cerca,
Session Defaults,Defectes predeterminats de la sessió,
Settings,Ajustos,
System Manager,Administrador del sistema,
Title,Títol,
Upload,Pujar,
User,Usuari,
Users,Usuaris,
View Website,Veure Lloc Web,
