About,Über,
App Name,App-Name,
Apps,Apps,
Background Image,Hintergrundbild,
Calendar,Kalender,
Camera,Kamera,
Custom CSS,Benutzerdefiniertes CSS,
Description,Beschreibung,
Download,Herunterladen,
File,Datei,
Filter,Filter,
Folder,Ordner,
Frappe Support,Frappe Support,
General,Allgemein,
Home,Startseite,
Icon,Symbol,
Image,Bild,
Inbox,Posteingang,
Is Active,Ist aktiv(iert),
Keyboard Shortcuts,Tastaturkürzel,
Label,Bezeichnung,
Log out,Abmelden,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Package,Paket,
Phone,Telefon,
Primary Color,Primärfarbe,
Reload,Neu laden,
Search,Suchen,
Session Defaults,Sitzungsstandards,
Settings,Einstellungen,
System Manager,System-Manager,
Title,Bezeichnung,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
Tools,Werkzeuge,
Upload,Hochladen,
User,Nutzer,
Users,Benutzer,
View Website,Webseite anzeigen,
