App Name,Όνομα εφαρμογής,
Calendar,Ημερολόγιο,
Camera,ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ,
Custom CSS,Προσαρμοσμένο css,
Description,Περιγραφή,
Download,Κατεβάστε,
File,Αρχείο,
Filter,Φίλτρο,
Folder,Φάκελος,
Home,Αρχική,
Icon,Εικόνισμα,
Image,Εικόνα,
Inbox,Inbox,
Is Active,Είναι ενεργό,
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου,
Label,Ετικέτα,
Phone,Τηλέφωνο,
Primary Color,Πρωτογενές χρώμα,
Reload,Επαναφόρτωση,
Search,Αναζήτηση,
Session Defaults,Προεπιλογές περιόδου σύνδεσης,
Settings,Ρυθμίσεις,
System Manager,Διαχειριστής συστήματος,
Title,Τίτλος,
Upload,Αποστολή στο διακομιστή,
User,Χρήστης,
Users,Χρήστες,
View Website,Δείτε την ιστοσελίδα,
