About,crwdns112978:0crwdne112978:0,
App Name,crwdns113534:0crwdne113534:0,
Apps,crwdns148374:0crwdne148374:0,
Background Image,crwdns144102:0crwdne144102:0,
Calendar,crwdns144280:0crwdne144280:0,
Camera,crwdns114328:0crwdne114328:0,
Custom CSS,crwdns144540:0crwdne144540:0,
Description,crwdns115818:0crwdne115818:0,
Download,crwdns116302:0crwdne116302:0,
File,crwdns117244:0crwdne117244:0,
Filter,crwdns117292:0crwdne117292:0,
Folder,crwdns145152:0crwdne145152:0,
Frappe Support,crwdns117604:0crwdne117604:0,
General,crwdns117700:0crwdne117700:0,
Home,crwdns118142:0crwdne118142:0,
Icon,crwdns118192:0crwdne118192:0,
Image,crwdns145494:0crwdne145494:0,
Inbox,crwdns118478:0crwdne118478:0,
Is Active,crwdns145606:0crwdne145606:0,
Keyboard Shortcuts,crwdns118988:0crwdne118988:0,
Label,crwdns119056:0crwdne119056:0,
Log out,crwdns119460:0crwdne119460:0,
My Profile,crwdns120052:0crwdne120052:0,
My Settings,crwdns120054:0crwdne120054:0,
Package,crwdns120952:0crwdne120952:0,
Phone,crwdns146396:0crwdne146396:0,
Primary Color,crwdns146460:0crwdne146460:0,
Reload,crwdns122270:0crwdne122270:0,
Search,crwdns123030:0crwdne123030:0,
Session Defaults,crwdns123422:0crwdne123422:0,
Settings,crwdns123504:0crwdne123504:0,
System Manager,crwdns124296:0crwdne124296:0,
Title,crwdns124810:0crwdne124810:0,
Toggle Full Width,crwdns124932:0crwdne124932:0,
Toggle Theme,crwdns124940:0crwdne124940:0,
Tools,crwdns124964:0crwdne124964:0,
Upload,crwdns125340:0crwdne125340:0,
User,crwdns125394:0crwdne125394:0,
Users,crwdns125588:0crwdne125588:0,
View Website,crwdns125722:0crwdne125722:0,
