Authentication,Autenticación,
Background Image,Imagen de fondo,
Button Color,Color de botón,
Cedula de ciudadania,Cédula de ciudadanía,
Common Configurations,Configuraciones comunes,
Custom CSS,CSS personalizado,
Default Channel,Canal predeterminado,
Description,Descripción,
Display Order,Orden de visualización,
Document Number,Número de documento,
Document Type,Tipo de documento,
Email,Correo electrónico,
Enable OTP Verification,Habilitar verificación OTP,
Femenino,Femenino,
Full Name,Nombre completo,
Gender,Género,
General,General,
Icon,Icono,
Is Active,Está activo,
Is Enabled,Está habilitado,
Is Internal,Es interno,
Open Portal,Abrir portal,
Tool Image,Imagen de herramienta,
Label,Etiqueta,
Lockout Duration (Minutes),Duración de bloqueo (minutos),
Logo,Logo,
Masculino,Masculino,
Max OTP Requests per Hour,Máx. solicitudes OTP por hora,
Max Verification Attempts,Máx. intentos de verificación,
Message Templates,Plantillas de mensaje,
NIT,NIT,
No especifica,No especifica,
OTP Configuration,Configuración OTP,
OTP Expiry (Minutes),Expiración OTP (minutos),
OTP Length,Longitud OTP,
OTP Settings,Configuración OTP,
OTP Verification,Verificación OTP,
Otro,Otro,
Phone Number,Número de teléfono,
Portal Name,Nombre del portal,
Primary Color,Color principal,
Rate Limiting,Límites y seguridad,
Registration Description,Descripción del registro,
Registration Settings,Configuración de registro,
Registration Title,Título del registro,
SMS Message Template,Plantilla SMS,
SMS Phone Number,Número SMS Twilio,
Secondary Color,Color secundario,
Service Portal,Portal de servicio,
Service Portal Tool,Herramienta de portal de servicio,
Setup Guide,Guía de configuración,
Styles,Estilos,
Title,Título,
Token Created At,Token creado en,
Token Hash,Hash del token,
Tool Label,Etiqueta de herramienta,
Tool Name,Nombre de herramienta,
Tool Type,Tipo de herramienta,
Tools,Herramientas,
Twilio Account SID,Twilio Account SID,
Twilio Auth Token,Twilio Auth Token,
Twilio Settings,Configuración Twilio,
User Contact Activity,Actividad de contactos,
User Contact Demographics,Demografía de contactos,
User Contact Registration Trend,Tendencia de registro de contactos,
User Contact Summary,Resumen de contactos,
User Contact by Document Type,Contactos por tipo de documento,
User contact,Contacto de usuario,
WhatsApp Message Template,Plantilla WhatsApp,
WhatsApp Phone Number,Número WhatsApp Twilio,
AI Configuration,Configuración de IA,
Configuration Name,Nombre de configuración,
Provider,Proveedor,
Model,Modelo,
Is Active,Está activo,
API Key,Clave API,
API URL,URL del API,
Credentials,Credenciales,
Parameters,Parámetros,
Temperature,Temperatura,
Max Tokens,Tokens máximos,
Default System Prompt,Prompt de sistema por defecto,
Test Connection,Probar conexión,
"Testing connection...","Probando conexión...",
"Connection successful. Response: ","Conexión exitosa. Respuesta: ",
"Connection failed: ","Conexión fallida: ",
"AI Configuration '{0}' not found","Configuración de IA '{0}' no encontrada",
"AI Configuration '{0}' is not active","La configuración de IA '{0}' no está activa",
"AI provider '{0}' has no registered implementation. Available: {1}","El proveedor de IA '{0}' no tiene implementación registrada. Disponibles: {1}",
"Temperature must be between 0.0 and 2.0","La temperatura debe estar entre 0.0 y 2.0",
"Max Tokens must be at least 1","Los tokens máximos deben ser al menos 1",
"Error calling OpenAI API: {0}","Error al llamar al API de OpenAI: {0}",
"Error calling Anthropic API: {0}","Error al llamar al API de Anthropic: {0}",
"Error calling Google AI API: {0}","Error al llamar al API de Google AI: {0}",
AI Provider,Proveedor de IA,
AI Model,Modelo de IA,
Provider Name,Nombre del proveedor,
Model Name,Nombre del modelo,
Is Default,Es predeterminado,
Available Models,Modelos disponibles,
API Key Guide,Guía de clave API,
Available models,Modelos disponibles,
No models configured for this provider,No hay modelos configurados para este proveedor,
How to get your OpenAI API Key,Cómo obtener tu clave API de OpenAI,
How to get your Anthropic API Key,Cómo obtener tu clave API de Anthropic,
How to get your Google AI API Key,Cómo obtener tu clave API de Google AI,
Go to,Ir a,
Click,Haz clic en,
Copy the key and paste it below,Copia la clave y pégala abajo,
Select a provider to see instructions for obtaining an API key,Selecciona un proveedor para ver instrucciones de cómo obtener una clave API,
