App Name,App nimi,
Calendar,Kalender,
Camera,Kaamera,
Custom CSS,Custom CSS,
Description,Kirjeldus,
Download,Lae alla,
File,Toimik,
Filter,Filter,
Folder,Folder,
Home,Kodu,
Icon,Ikoon,
Image,Pilt,
Inbox,Postkast,
Is Active,Kas Active,
Keyboard Shortcuts,Klaviatuuri otseteed,
Label,Etikett,
Phone,Telefon,
Primary Color,Esmane värv,
Reload,Reload,
Search,Otsing,
Session Defaults,Seansi vaikeväärtused,
Settings,Seaded,
System Manager,Süsteemihaldur,
Title,Pealkiri,
Upload,Laadi üles,
User,Kasutaja,
Users,Kasutajad,
View Website,Vaata Koduleht,
