App Name,sovelluksen nimi,
Calendar,Kalenteri,
Camera,Kamera,
Custom CSS,Mukautettu CSS,
Description,Kuvaus,
Download,ladata,
File,tiedosto,
Filter,Suodattaa,
Folder,Kansio,
Home,Siirry etusivulle,
Icon,ikoni,
Image,Kuva,
Inbox,Saapuneet,
Is Active,aktiivinen,
Keyboard Shortcuts,Pikanäppäimet,
Label,Nimike,
Phone,Puhelin,
Primary Color,Ensisijainen väri,
Reload,Päivitä,
Search,Haku,
Session Defaults,Istunnon oletukset,
Settings,asetukset,
System Manager,Järjestelmän ylläpitäjä,
Title,otsikko,
Upload,Tuo,
User,käyttäjä,
Users,Käyttäjät,
View Website,Näytä verkkosivusto,
