About,O,
App Name,App Naziv,
Calendar,Kalendar,
Camera,Kamera,
Custom CSS,Prilagođeni CSS,
Description,Opis,
Download,preuzimanje datoteka,
File,Datoteka,
Filter,filtar,
Folder,Mapa,
Home,dom,
Icon,Ikona,
Image,Slika,
Inbox,Ulazni spremnik,
Is Active,Je aktivan,
Keyboard Shortcuts,Prečice na tipkovnici,
Label,Oznaka,
Phone,Telefon,
Primary Color,Primarna boja,
Reload,Reload,
Search,Traži,
Session Defaults,Zadani zadaci sesije,
Settings,postavke,
System Manager,Sustav Manager,
Title,Naslov,
Upload,upload,
User,Korisnik,
Users,Korisnici,
View Website,Pogledaj web stranicu,
