App Name,Nama App,
Calendar,Kalender,
Camera,Kamera,
Custom CSS,Kustom CSS,
Description,Deskripsi,
Download,Unduh,
File,Mengajukan,
Filter,Filter,
Folder,Map,
Home,Rumah,
Icon,Ikon,
Image,Gambar,
Inbox,Kotak masuk,
Is Active,Aktif,
Keyboard Shortcuts,Pintasan keyboard,
Label,Label,
Phone,Telepon,
Primary Color,Warna primer,
Reload,Mengisi kembali,
Search,Pencarian,
Session Defaults,Default Sesi,
Settings,Pengaturan,
System Manager,System Manager,
Title,Judul,
Upload,Mengunggah,
User,Pengguna,
Users,Pengguna,
View Website,Lihat Situs Web,
