App Name,App Name,
Calendar,Calendario,
Camera,telecamera,
Custom CSS,CSS Personalizzato,
Description,Descrizione,
Download,Scarica,
File,File,
Filter,Filtro,
Folder,Cartella,
Home,Home,
Icon,Icona,
Image,Immagine,
Inbox,Posta in arrivo,
Is Active,È attivo,
Keyboard Shortcuts,Tasti rapidi,
Label,Etichetta,
Phone,Telefono,
Primary Color,Colore primario,
Reload,Aggiorna,
Search,Cerca,
Session Defaults,Sessioni predefinite,
Settings,Impostazioni,
System Manager,System Manager,
Title,Titolo,
Upload,Caricare,
User,Utente,
Users,utenti,
View Website,Visualizza sito web,
