App Name,ឈ្មោះកម្មវិធី,
Calendar,ប្រតិទិន,
Camera,កាមេរ៉ា,
Custom CSS,CSS ផ្ទាល់,
Description,ការពិពណ៌នាសង្ខេប,
Download,ទាញយក,
File,ឯកសារ,
Filter,តម្រង,
Folder,ថត,
Home,ទំព័រដើម,
Icon,រូបតំណាង,
Image,រូបភាព,
Inbox,ប្រអប់ទទួល,
Is Active,គឺជាសកម្ម,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Label,ស្លាក,
Phone,ទូរស័ព្ទ,
Primary Color,ពណ៌ចម្បង។,
Reload,ផ្ទុកឡើងវិញ,
Search,ស្វែងរក,
Session Defaults,លំនាំដើមវេន។,
Settings,ការកំណត់,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Title,ចំណងជើង,
Upload,ផ្ទុកឡើង,
User,អ្នកប្រើ,
Users,អ្នកប្រើប្រាស់,
View Website,មើលគេហទំព័រ,
