App Name,ಅಪ್ಲಿಕೇಶನ್ ಹೆಸರು,
Calendar,ಕ್ಯಾಲೆಂಡರ್,
Camera,ಕ್ಯಾಮೆರಾ,
Custom CSS,ಕಸ್ಟಮ್ CSS,
Description,ವಿವರಣೆ,
Download,ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ,
File,ಫೈಲ್,
Filter,ಫಿಲ್ಟರ್,
Folder,ಫೋಲ್ಡರ್,
Home,ಮನೆ,
Icon,ಐಕಾನ್,
Image,ಚಿತ್ರ,
Inbox,ಇನ್‌ಬಾಕ್ಸ್,
Is Active,ಸಕ್ರಿಯವಾಗಿದೆ,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Label,ಚೀಟಿ,
Phone,ದೂರವಾಣಿ,
Primary Color,ಪ್ರಾಥಮಿಕ ಬಣ್ಣ,
Reload,ರೀಲೋಡ್,
Search,ಹುಡುಕು,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Settings,ಸೆಟ್ಟಿಂಗ್ಗಳು,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Title,ಶೀರ್ಷಿಕೆ,
Upload,ಅಪ್ಲೋಡ್,
User,ಬಳಕೆದಾರ,
Users,ಬಳಕೆದಾರರು,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
