App Name,"Programos pavadinimas,",
Calendar,Kalendorius,
Camera,Fotoaparatas,
Custom CSS,Pasirinktinis CSS,
Description,Prekės ir paslaugos pavadinimas,
Download,parsisiųsti,
File,Byla,
Filter,Filtras,
Folder,aplankas,
Home,Namai,
Icon,Piktograma,
Image,Vaizdas,
Inbox,Pašto dėžutę,
Is Active,yra aktyvus,
Keyboard Shortcuts,Klaviatūros nuorodos,
Label,Etiketė,
Phone,telefonas,
Primary Color,Pagrindinė spalva,
Reload,Perkrauti,
Search,Paieška,
Session Defaults,Sesijos numatytieji nustatymai,
Settings,Nustatymai,
System Manager,sistemos direktorius,
Title,Pavadinimas,
Upload,Įkelti,
User,Vartotojas,
Users,vartotojai,
View Website,Peržiūrėti svetainė,
