App Name,App Name,
Calendar,Kalendārs,
Camera,Kamera,
Custom CSS,Custom CSS,
Description,Apraksts,
Download,Lejupielādēt,
File,Fails,
Filter,Filtrēt,
Folder,Mape,
Home,Mājas,
Icon,Ikona,
Image,Attēls,
Inbox,Iesūtne,
Is Active,Vai Active,
Keyboard Shortcuts,Tastatūras īsceļi,
Label,Etiķete,
Phone,Telefons,
Primary Color,Primārā krāsa,
Reload,Pārlādēt,
Search,Meklēšana,
Session Defaults,Sesijas noklusējumi,
Settings,Settings,
System Manager,System Manager,
Title,Virsraksts,
Upload,Augšupielāde,
User,Lietotājs,
Users,Lietotāji,
View Website,Skatīt Website,
