App Name,അപ്ലിക്കേഷൻ പേര്,
Calendar,കലണ്ടർ,
Camera,ക്യാമറ,
Custom CSS,കസ്റ്റം സി.എസ്.എസ്,
Description,വിവരണം,
Download,ഡൗൺലോഡ്,
File,ഫയൽ,
Filter,ഫിൽറ്റർ ചെയ്യുക,
Folder,ഫോൾഡർ,
Home,ഹോം,
Icon,ഐക്കൺ,
Image,ചിത്രം,
Inbox,ഇൻ‌ബോക്സ്,
Is Active,സജീവമായിട്ടുള്ള,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Label,ലേബൽ,
Phone,ഫോൺ,
Primary Color,പ്രാഥമിക നിറം,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Search,തിരച്ചിൽ,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Settings,ക്രമീകരണങ്ങൾ,
System Manager,സിസ്റ്റം മാനേജർ,
Title,ശീർഷകം,
Upload,അപ്ലോഡുചെയ്യുക,
User,ഉപയോക്താവ്,
Users,ഉപയോക്താക്കൾ,
View Website,വെബ്സൈറ്റ് കാണുക,
