App Name,Nama App,
Calendar,Kalendar,
Camera,Kamera,
Custom CSS,CSS Custom,
Description,Penerangan,
Download,Muat turun,
File,Fail,
Filter,Penapis,
Folder,Folder,
Home,Laman Utama,
Icon,Ikon,
Image,Image,
Inbox,Peti masuk,
Is Active,Adalah aktif,
Keyboard Shortcuts,Pintasan papan kekunci,
Label,Label,
Phone,Telefon,
Primary Color,Warna primer,
Reload,Muat semula,
Search,Carian,
Session Defaults,Default Sesi,
Settings,Tetapan,
System Manager,Pengurus Sistem,
Title,Tajuk,
Upload,Muat naik,
User,Pengguna,
Users,Pengguna,
View Website,Lihat Laman Web,
