App Name,App Name,
Calendar,Kalender,
Camera,Kamera,
Custom CSS,Custom CSS,
Description,Beskrivelse,
Download,nedlasting,
File,Fil,
Filter,Filter,
Folder,Mappe,
Home,Hjem,
Icon,Ikon,
Image,Bilde,
Inbox,Innboks,
Is Active,Er Aktiv,
Keyboard Shortcuts,Tastatursnarveier,
Label,Etiketten,
Phone,Telefon,
Primary Color,Primærfarge,
Reload,Last,
Search,Søk,
Session Defaults,Økt mislighold,
Settings,Innstillinger,
System Manager,System Manager,
Title,Tittel,
Upload,Last opp,
User,Bruker,
Users,Brukere,
View Website,Vis nettstedet,
