App Name,Nazwa App,
Calendar,Kalendarz,
Camera,Aparat fotograficzny,
Custom CSS,Niestandardowy CSS,
Description,Opis,
Download,Pobieranie,
File,Plik,
Filter,Filtr,
Folder,Falcówka,
Home,Start,
Icon,Ikona,
Image,Obrazek,
Inbox,W pudełku,
Is Active,Aktywny,
Keyboard Shortcuts,Skróty klawiszowe,
Label,Etykieta,
Phone,Telefon,
Primary Color,Kolor podstawowy,
Reload,Przeładuj,
Search,Szukaj,
Session Defaults,Domyślne ustawienia sesji,
Settings,Ustawienia,
System Manager,System Manager,
Title,Tytuł,
Upload,Prześlij,
User,Użytkownik,
Users,Użytkownicy,
View Website,Zobacz stronę WWW,
