App Name,Nome do App,
Calendar,Calendário,
Camera,câmera,
Custom CSS,CSS Personalizado,
Description,Descrição,
Download,Baixar,
File,Arquivo,
Filter,Filtro,
Folder,Pasta,
Home,Início,
Icon,Ícone,
Image,Imagem,
Inbox,Caixa de Entrada,
Is Active,É Ativo,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
Phone,Telefone,
Primary Color,Cor primária,
Reload,Recarregar,
Search,Pesquisar,
Session Defaults,Padrões de Sessão,
Settings,Configurações,
System Manager,Administrador do Sistema,
Title,Título,
Tools,Ferramentas,
Upload,Enviar,
User,Usuário,
Users,Usuários,
View Website,Ver  Site,
