App Name,Nome da App,
Calendar,Calendário,
Camera,Câmera,
Custom CSS,CSS Personalizada,
Description,Descrição,
Download,Baixar,
File,Arquivo,
Filter,Filtro,
Folder,Pasta,
Home,Início,
Icon,Ícone,
Image,Imagem,
Inbox,Caixa de entrada,
Is Active,É Ativa,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
Phone,Telefone,
Primary Color,Cor primária,
Reload,recarregar,
Search,Pesquisar,
Session Defaults,Padrões de Sessão,
Settings,Configurações,
System Manager,System Manager,
Title,Título,
Upload,Enviar,
User,Do utilizador,
Users,Utilizadores,
View Website,Veja site,
