About,О системе,
App Name,Имя приложения,
Calendar,Календарь,
Camera,Камера,
Custom CSS,Пользовательский CSS,
Description,Описание,
Download,Скачать,
File,Файл,
Filter,Фильтр,
Folder,Папка,
Home,Главная,
Icon,Икона,
Image,Изображение,
Inbox,Входящие,
Is Active,Активен,
Keyboard Shortcuts,Горячие клавиши,
Label,Имя метки,
My Profile,Мой профиль,
My Settings,Мои настройки,
Phone,Телефон,
Primary Color,Основной цвет,
Reload,Обновить страницу,
Search,Поиск,
Session Defaults,Сеансы по умолчанию,
Settings,Настройки,
System Manager,Менеджер системы,
Title,Заголовок,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
Upload,Загрузить,
User,Пользователь,
Users,Пользователи,
View Website,Посмотреть сайт,
