App Name,Izina rya porogaramu,
Calendar,Kalendari,
Camera,Kamera,
Custom CSS,CSS,
Description,Ibisobanuro,
Download,Kuramo,
File,Idosiye,
Filter,Muyunguruzi,
Folder,Ububiko,
Home,Murugo,
Icon,Agashusho,
Image,Ishusho,
Inbox,Inbox,
Is Active,Nibikorwa,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Label,Ikirango,
Phone,Terefone,
Primary Color,Ibara ryibanze,
Reload,Ongera usubiremo,
Search,Shakisha,
Session Defaults,Isomo risanzwe,
Settings,Igenamiterere,
System Manager,Umuyobozi wa sisitemu,
Title,Umutwe,
Upload,Kuramo,
User,Umukoresha,
Users,Abakoresha,
View Website,Reba Urubuga,
