App Name,Emri app,
Calendar,Kalendar,
Camera,Kamera,
Custom CSS,Custom CSS,
Description,Përshkrim,
Download,Shkarko,
File,skedar,
Filter,filtër,
Folder,Dosje,
Home,Shtëpi,
Icon,ikonë,
Image,imazh,
Inbox,Inbox,
Is Active,Është Aktiv,
Keyboard Shortcuts,Shkurtoret e tastierës,
Label,Etiketë,
Phone,Telefon,
Primary Color,Ngjyra primare,
Reload,Rifresko,
Search,Kërkim,
Session Defaults,Default Seanca,
Settings,Cilësimet,
System Manager,Sistemi Menaxher,
Title,titull,
Upload,Ngarko,
User,përdorues,
Users,përdoruesit,
View Website,Shikoni faqen e internetit,
