About,O Nama,
App Name,Имя приложения,
Background Image,Pozadinska slika,
Calendar,Kalendar,
Camera,Камера,
Custom CSS,Прилагођени ЦСС,
Description,Opis,
Download,Preuzmi,
File,Филе,
Filter,Филтер,
Folder,Folder,
Home,Naslovna,
Icon,Ицон,
Image,Slika,
Inbox,Инбок,
Is Active,Je aktivan,
Keyboard Shortcuts,Пречице на тастатури,
Label,Налепница,
My Settings,Moja podešavanja,
Phone,Телефон,
Primary Color,Примарна боја,
Reload,Učitaj ponovo,
Search,Претрага,
Session Defaults,Задане поставке сесије,
Settings,Подешавања,
System Manager,Menadžer sistema,
Title,Naslov,
Upload,Priloži,
User,Korisnik,
Users,Korisnici,
View Website,Pogledaj sajt,
