App Name,பயன்பாடு பெயர்,
Calendar,நாட்காட்டி,
Camera,புகைப்பட கருவி,
Custom CSS,தனிப்பயன் CSS,
Description,விளக்கம்,
Download,பதிவிறக்க Tamil,
File,கோப்பு,
Filter,வடிகட்டி,
Folder,அடைவு,
Home,வீட்டில்,
Icon,ஐகான்,
Image,படம்,
Inbox,உட்பெட்டி,
Is Active,செயலில் உள்ளது,
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்,
Label,சிட்டை,
Phone,தொலைபேசி,
Primary Color,முதன்மை நிறம்,
Reload,Reload,
Search,தேடல்,
Session Defaults,அமர்வு இயல்புநிலைகள்,
Settings,அமைப்புகள்,
System Manager,கணினி மேலாளர்,
Title,தலைப்பு,
Upload,பதிவேற்ற,
User,பயனர்,
Users,பயனர்கள்,
View Website,இணையத்தளம் பார்வையிட,
