About,Hakkında,
App Name,Uygulama İsmi,
Apps,Uygulamalar,
Background Image,Arkaplan Resmi,
Calendar,Takvim,
Camera,Kamera,
Custom CSS,Özel CSS,
Description,Açıklama,
Download,İndir,
File,Dosya,
Filter,Filtre,
Folder,Klasör,
Frappe Support,Frappe Desteği,
General,Genel,
Home,Ana Sayfa,
Icon,Simge,
Image,Resim,
Inbox,Gelen Kutusu,
Is Active,Aktif,
Keyboard Shortcuts,Klavye Kısayolları,
Label,Etiket,
Log out,Çıkış,
My Profile,Profilim,
My Settings,Ayarlarım,
Package,Paket,
Phone,Telefon,
Primary Color,Ana Renk,
Reload,Yeniden Yükle,
Search,arama,
Session Defaults,Oturum Varsayılanları,
Settings,Ayarlar,
System Manager,Sistem Yöneticisi,
Title,Başlık,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Tools,Araçlar,
Upload,Yükle,
User,Kullanıcı,
Users,Kullanıcılar,
View Website,Websitesine Git,
