App Name,اپلی کیشن کا نام,
Calendar,کیلنڈر,
Camera,کیمرہ,
Custom CSS,اپنی مرضی کے مطابق سی ایس ایس,
Description,تفصیل,
Download,ڈاؤن لوڈ کریں,
File,فائل,
Filter,فلٹر,
Folder,فولڈر,
Home,گھر,
Icon,شبیہہ,
Image,تصویر,
Inbox,ان باکس,
Is Active,فعال ہے,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Label,لیبل,
Phone,فون,
Primary Color,بنیادی رنگین۔,
Reload,دوبارہ,
Search,تلاش کریں,
Session Defaults,سیشن ڈیفالٹس,
Settings,ترتیبات,
System Manager,سسٹم مینیجر,
Title,عنوان,
Upload,اپ لوڈ کریں,
User,صارف,
Users,صارفین,
View Website,سائٹ,
