App Name,Ilova nomi,
Calendar,Kalendar,
Camera,Kamera,
Custom CSS,Maxsus CSS,
Description,Ta&#39;rif,
Download,Yuklab oling,
File,Fayl,
Filter,Filtrni tanlang,
Folder,Folder,
Home,Bosh sahifa,
Icon,Belgi,
Image,Rasm,
Inbox,Xabarlar qutisi,
Is Active,Faol,
Keyboard Shortcuts,Klaviatura yorliqlari,
Label,Yorliq,
Phone,Telefon,
Primary Color,Birlamchi rang,
Reload,Qayta yuklash,
Search,Qidirmoq,
Session Defaults,Sessiya standartlari,
Settings,Sozlamalar,
System Manager,Tizim menejeri,
Title,Sarlavha,
Upload,Yuklash,
User,Foydalanuvchi,
Users,Foydalanuvchilar,
View Website,Veb-saytni ko&#39;rish,
